PC1,year,month
-49.72049883580261,2009,3
-34.29774539671823,2009,6
-18.111029481810736,2009,9
1.7194802249131829,2009,12
-45.81785776155501,2010,3
-26.437518430558473,2010,6
-6.676381415761717,2010,9
17.95702778420744,2010,12
-42.18411837112897,2011,3
-18.842924967996524,2011,6
4.4892127260270875,2011,9
31.630660121525782,2011,12
-41.1305884865949,2012,3
-16.845930068041735,2012,6
7.241724261812823,2012,9
36.443050711349116,2012,12
-39.54566536577433,2013,3
-13.326346984053478,2013,6
12.861930665403602,2013,9
45.28693193691574,2013,12
-38.27515462468275,2014,3
-10.304579717725424,2014,6
17.594962946301752,2014,9
52.278617092861964,2014,12
-37.711082193644046,2015,3
-9.208791207461696,2015,6
19.17121398511693,2015,9
55.470105943600466,2015,12
-35.50804226391811,2016,3
-4.009754592615638,2016,6
27.880502257540375,2016,9
70.3045789425324,2016,12
-30.592140757951128,2017,3
6.207603290025107,2017,6
44.377297397442085,2017,9
93.08961699748163,2017,12
-25.458366361261255,2018,3
