PC1,year,month
-49.329460287717616,2009,6
-12.238336619584098,2009,9
-5.321598106036267,2009,12
58.3531842492421,2010,3
-46.13965062275108,2010,6
-10.526460243865115,2010,9
-4.990191613812909,2010,12
58.901652309020406,2011,3
-44.81656993819138,2011,6
-9.849336888701398,2011,9
-2.993039819078126,2011,12
60.261196825076325,2012,3
-44.27332098701251,2012,6
-9.327331804703322,2012,9
-3.722957945339926,2012,12
59.95081372375812,2013,3
-43.843406553820145,2013,6
-9.6862160807469,2013,9
-4.211453854301576,2013,12
60.47334777665135,2014,3
-44.306739766392496,2014,6
-9.674861450421275,2014,9
-4.451212723759857,2014,12
60.70964766059147,2015,3
-44.45662881767516,2015,6
-9.147632721478312,2015,9
-4.540839508356808,2015,12
60.12106806984964,2016,3
-44.72959157861029,2016,6
-9.907800853112871,2016,9
-5.6346488269007455,2016,12
59.42915144465215,2017,3
-44.77791371593627,2017,6
-10.486813851559253,2017,9
-4.646664225319459,2017,12
59.83061734634364,2018,3
